1	33094083407
2	2068695273
3	408734911.8
4	129372252.7
5	53015095.66
6	25580977.82
7	13817093
8	8105498.353
9	5064593.604
10	3326088.208
11	2274187.718
12	1607605.685
13	1168645.444
14	870041.3842
15	661191.2855
16	511560.0013
17	402077.2017
18	320470.4797
19	258631.1793
20	211075.0378
21	174014.5738
22	144784.6151
23	121477.6994
24	102707.4992
25	87452.21088
26	74948.9691
27	64621.46243
28	56029.54409
29	48833.65462
30	42769.37202
31	37628.98464
32	33247.99767
33	29495.14784
34	26264.94138
35	23472.0261
36	21046.90978
37	18932.67651
38	17082.4487
39	15457.41154
40	14025.2644
41	12758.99932
42	11635.9313
43	10636.92422
44	9745.769319
45	8948.683611
46	8233.903051
47	7591.350922
48	7012.366334
49	6489.480938
50	6016.234534
51	5587.022171
52	5196.966887
53	4841.81338
54	4517.838857
55	4221.778041
56	3950.759854
57	3702.253818
58	3474.02452
59	3264.092828
60	3070.702754
